Unidade da Federaá∆o;2014;2015;2016;2017;2018;2019
11 Rondìnia;1748531;1768204;1787279;1805788;1757589;1777225
12 Acre;790101;803513;816687;829619;869265;881935
13 Amazonas;3873743;3938336;4001667;4063614;4080611;4144597
14 Roraima;496936;505665;514229;522636;576568;605761
15 Par†;8104880;8206923;8305359;8366628;8513497;8602865
16 Amap†;750912;766679;782295;797722;829494;845731
17 Tocantins;1496880;1515126;1532902;1550194;1555229;1572866
21 Maranh∆o;6850884;6904241;6954036;7000229;7035055;7075181
22 Piau°;3194718;3204028;3212180;3219257;3264531;3273227
23 Cear†;8842791;8904459;8963663;9020460;9075649;9132078
24 Rio Grande do Norte;3408510;3442175;3474998;3507003;3479010;3506853
25 Para°ba;3943885;3972202;3999415;4025558;3996496;4018127
26 Pernambuco;9277727;9345173;9410336;9473266;9496294;9557071
27 Alagoas;3321730;3340932;3358963;3375823;3322820;3337357
28 Sergipe;2219574;2242937;2265779;2288116;2278308;2298696
29 Bahia;15126371;15203934;15276566;15344447;14812617;14873064
31 Minas Gerais;20734097;20869101;20997560;21119536;21040662;21168791
32 Esp°rito Santo;3885049;3929911;3973697;4016356;3972388;4018650
33 Rio de Janeiro;16461173;16550024;16635996;16718956;17159960;17264943
35 S∆o Paulo;44035304;44396484;44749699;45094866;45538936;45919049
41 Paran†;11081692;11163018;11242720;11320892;11348937;11433957
42 Santa Catarina;6727148;6819190;6910553;7001161;7075494;7164788
43 Rio Grande do Sul;11207274;11247972;11286500;11322895;11329605;11377239
50 Mato Grosso do Sul;2619657;2651235;2682386;2713147;2748023;2778986
51 Mato Grosso;3224357;3265486;3305531;3344544;3441998;3484466
52 Goi†s;6523222;6610681;6695855;6778772;6921161;7018354
53 Distrito Federal;2852372;2914830;2977216;3039444;2974703;3015268
